source_id,source_role,gate_included,source_path,runtime_reachability,evidence
curated_runtime_bank,runtime_secondary,true,lib/src/data/curated_question_bank.dart,runtime_active,MockZanKurdRepository.questions includes both banks; Supabase repository falls back to the same offline repository.
offline_runtime_bank,runtime_primary,true,lib/src/data/offline_question_bank.dart,runtime_active,MockZanKurdRepository.questions includes both banks; Supabase repository falls back to the same offline repository.
pure_kurdish_pilot,candidate_pool,false,pure_kurdish_pilot_output.json,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_question_sql,historical_snapshot,false,supabase/2026-07-13_curated_question_wave_1.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_question_sql,historical_snapshot,false,supabase/2026-07-13_pure_kurmanci_question_wave_1.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
generated_master_csv,historical_snapshot,false,supabase/2026-07-14_all_generated_questions_master.csv,historical_only,No direct application runtime reference; role and repository search support conservative classification.
live_kurmanci_export,runtime_secondary,true,supabase/2026-07-14_chat_all_kurmanci_questions_live.csv,unknown,"Import scripts reference the CSV, but application runtime code does not read this file directly."
historical_question_sql,historical_snapshot,false,supabase/2026-07-14_editorial_kurmanci_question_wave_2.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
editorial_wave2_review,candidate_pool,false,supabase/2026-07-14_editorial_kurmanci_question_wave_2_for_ai_review.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
open_web_master,candidate_pool,false,supabase/2026-07-14_open_web_candidate_pool_master.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
open_web_review_queue,candidate_pool,false,supabase/2026-07-14_open_web_controlled_review_queue.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
opentdb_candidate_pool,candidate_pool,false,supabase/2026-07-14_opentdb_candidate_pool.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
opentdb_remaining,candidate_pool,false,supabase/2026-07-14_opentdb_remaining_categories_candidates.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_opentdb_translated_batch_1.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_opentdb_translated_batch_2.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_opentdb_translated_batch_3.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_opentdb_translated_batch_4.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_opentdb_translated_batch_5.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
wikidata_candidates,candidate_pool,false,supabase/2026-07-14_wikidata_candidate_questions.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_wikidata_translated_batch_1.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_wikidata_translated_batch_2.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
translated_batches,candidate_pool,false,supabase/2026-07-14_wikidata_translated_batch_3.csv,unknown,No direct application runtime reference; role and repository search support conservative classification.
active_import_ready,import_candidate,true,supabase/questions_import_ready.csv,import_active_not_runtime,tools/export_question_bank_csv.py produces the file; no runtime import is executed by the app.
historical_rich_sql,historical_snapshot,false,supabase/rich_question_bank_v1.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_sql,historical_snapshot,false,supabase/rich_question_bank_v2.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/00_setup.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/01_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/02_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/03_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/04_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/05_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/06_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/07_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_rich_parts,historical_snapshot,false,supabase/rich_question_bank_v2_parts/08_insert.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
rich_v2_csv_snapshot,historical_snapshot,false,supabase/rich_question_bank_v2_questions.csv,historical_only,No direct application runtime reference; role and repository search support conservative classification.
wave2_publish_candidates,publish_candidate,true,supabase/wave2_curated_publish_candidates.csv,publish_candidate_not_runtime,Export scripts can turn this candidate CSV into SQL; it is not read directly at runtime.
wave2_publish_sql_snapshot,historical_snapshot,false,supabase/wave2_curated_publish_candidates.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
wave2_quarantine,quarantine,false,supabase/wave2_quarantine_for_further_review.csv,quarantine_only,No direct application runtime reference; role and repository search support conservative classification.
wave2_reviewed,historical_snapshot,false,supabase/wave2_reviewed.csv,historical_only,No direct application runtime reference; role and repository search support conservative classification.
historical_sql_chunks,historical_snapshot,false,supabase_chunks/rich_bank_part_1.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_sql_chunks,historical_snapshot,false,supabase_chunks/rich_bank_part_2.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_sql_chunks,historical_snapshot,false,supabase_chunks/rich_bank_part_3.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_sql_chunks,historical_snapshot,false,supabase_chunks/rich_bank_part_4.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
historical_sql_chunks,historical_snapshot,false,supabase_chunks/rich_bank_part_5.sql,unknown,No direct application runtime reference; role and repository search support conservative classification.
